faculty_id,course_id,section_id
F1,C001,S1
F2,C002,S1
F3,C003,S1
F4,C004,S1
F5,C005,S1
F6,C006,S1
F7,C007,S1
F8,C008,S1
F9,C009,S1
F10,C010,S1
F11,C001,S2
F12,C002,S2
F13,C003,S2
F14,C004,S2
F15,C005,S2
F16,C006,S2
F17,C007,S2
F18,C008,S2
F19,C009,S2
F20,C010,S2
F21,C001,S3
F22,C002,S3
F23,C003,S3
F24,C004,S3
F25,C005,S3
F26,C006,S3
F27,C007,S3
F28,C008,S3
F29,C009,S3
F30,C010,S3
F31,C001,S4
F32,C002,S4
F33,C003,S4
F34,C004,S4
F35,C005,S4
F36,C006,S4
F37,C007,S4
F38,C008,S4
F39,C009,S4
F40,C010,S4
F41,C001,S5
F42,C002,S5
F43,C003,S5
F44,C004,S5
F45,C005,S5
F46,C006,S5
F47,C007,S5
F48,C008,S5
F49,C009,S5
F50,C010,S5
F51,C001,S6
F52,C002,S6
F53,C003,S6
F54,C004,S6
F55,C005,S6
F56,C006,S6
F57,C007,S6
F58,C008,S6
F59,C009,S6
F60,C010,S6
F61,C001,S7
F62,C002,S7
F63,C003,S7
F64,C004,S7
F65,C005,S7
F66,C006,S7
F67,C007,S7
F68,C008,S7
F69,C009,S7
F70,C010,S7
F71,C001,S8
F72,C002,S8
F73,C003,S8
F74,C004,S8
F75,C005,S8
F76,C006,S8
F77,C007,S8
F78,C008,S8
F79,C009,S8
F80,C010,S8
F81,C001,S9
F82,C002,S9
F83,C003,S9
F84,C004,S9
F85,C005,S9
F86,C006,S9
F87,C007,S9
F88,C008,S9
F89,C009,S9
F90,C010,S9
F91,C001,S10
F92,C002,S10
F93,C003,S10
F94,C004,S10
F95,C005,S10
F96,C006,S10
F97,C007,S10
F98,C008,S10
F99,C009,S10
F100,C010,S10
F101,C001,S11
F102,C002,S11
F103,C003,S11
F104,C004,S11
F105,C005,S11
F106,C006,S11
F107,C007,S11
F108,C008,S11
F109,C009,S11
F110,C010,S11
F111,C001,S12
F112,C002,S12
F113,C003,S12
F114,C004,S12
F115,C005,S12
F116,C006,S12
F117,C007,S12
F118,C008,S12
F119,C009,S12
F120,C010,S12
F121,C001,S13
F122,C002,S13
F123,C003,S13
F124,C004,S13
F125,C005,S13
F126,C006,S13
F127,C007,S13
F128,C008,S13
F129,C009,S13
F130,C010,S13
F131,C001,S14
F132,C002,S14
F133,C003,S14
F134,C004,S14
F135,C005,S14
F136,C006,S14
F137,C007,S14
F138,C008,S14
F139,C009,S14
F140,C010,S14
F141,C001,S15
F142,C002,S15
F143,C003,S15
F144,C004,S15
F145,C005,S15
F146,C006,S15
F147,C007,S15
F148,C008,S15
F149,C009,S15
F150,C010,S15
F151,C001,S16
F152,C002,S16
F153,C003,S16
F154,C004,S16
F155,C005,S16
F156,C006,S16
F157,C007,S16
F158,C008,S16
F159,C009,S16
F160,C010,S16
F161,C001,S17
F162,C002,S17
F163,C003,S17
F164,C004,S17
F165,C005,S17
F166,C006,S17
F167,C007,S17
F168,C008,S17
F169,C009,S17
F170,C010,S17
F171,C001,S18
F172,C002,S18
F173,C003,S18
F174,C004,S18
F175,C005,S18
F176,C006,S18
F177,C007,S18
F178,C008,S18
F179,C009,S18
F180,C010,S18
F181,C001,S19
F182,C002,S19
F183,C003,S19
F184,C004,S19
F185,C005,S19
F186,C006,S19
F187,C007,S19
F188,C008,S19
F189,C009,S19
F190,C010,S19
F191,C001,S20
F192,C002,S20
F193,C003,S20
F194,C004,S20
F195,C005,S20
F196,C006,S20
F197,C007,S20
F198,C008,S20
F199,C009,S20
F200,C010,S20
F201,C001,S21
F202,C002,S21
F203,C003,S21
F204,C004,S21
F205,C005,S21
F206,C006,S21
F207,C007,S21
F208,C008,S21
F209,C009,S21
F210,C010,S21
F211,C001,S22
F212,C002,S22
F213,C003,S22
F214,C004,S22
F215,C005,S22
F216,C006,S22
F217,C007,S22
F218,C008,S22
F219,C009,S22
F220,C010,S22
F221,C001,S23
F222,C002,S23
F223,C003,S23
F224,C004,S23
F225,C005,S23
F226,C006,S23
F227,C007,S23
F228,C008,S23
F229,C009,S23
F230,C010,S23
F231,C001,S24
F232,C002,S24
F233,C003,S24
F234,C004,S24
F235,C005,S24
F236,C006,S24
F237,C007,S24
F238,C008,S24
F239,C009,S24
F240,C010,S24
F241,C001,S25
F242,C002,S25
F243,C003,S25
F244,C004,S25
F245,C005,S25
F246,C006,S25
F247,C007,S25
F248,C008,S25
F249,C009,S25
F250,C010,S25
F251,C001,S26
F252,C002,S26
F253,C003,S26
F254,C004,S26
F255,C005,S26
F256,C006,S26
F257,C007,S26
F258,C008,S26
F259,C009,S26
F260,C010,S26
F261,C001,S27
F262,C002,S27
F263,C003,S27
F264,C004,S27
F265,C005,S27
F266,C006,S27
F267,C007,S27
F268,C008,S27
F269,C009,S27
F270,C010,S27
F271,C001,S28
F272,C002,S28
F273,C003,S28
F274,C004,S28
F275,C005,S28
F276,C006,S28
F277,C007,S28
F278,C008,S28
F279,C009,S28
F280,C010,S28
F281,C001,S29
F282,C002,S29
F283,C003,S29
F284,C004,S29
F285,C005,S29
F286,C006,S29
F287,C007,S29
F288,C008,S29
F289,C009,S29
F290,C010,S29
F291,C001,S30
F292,C002,S30
F293,C003,S30
F294,C004,S30
F295,C005,S30
F296,C006,S30
F297,C007,S30
F298,C008,S30
F299,C009,S30
F300,C010,S30
F301,C001,S31
F302,C002,S31
F303,C003,S31
F304,C004,S31
F305,C005,S31
F306,C006,S31
F307,C007,S31
F308,C008,S31
F309,C009,S31
F310,C010,S31
F311,C001,S32
F312,C002,S32
F313,C003,S32
F314,C004,S32
F315,C005,S32
F316,C006,S32
F317,C007,S32
F318,C008,S32
F319,C009,S32
F320,C010,S32
F321,C001,S33
F322,C002,S33
F323,C003,S33
F324,C004,S33
F325,C005,S33
F326,C006,S33
F327,C007,S33
F328,C008,S33
F329,C009,S33
F330,C010,S33
F331,C001,S34
F332,C002,S34
F333,C003,S34
F334,C004,S34
F335,C005,S34
F336,C006,S34
F337,C007,S34
F338,C008,S34
F339,C009,S34
F340,C010,S34
F341,C001,S35
F342,C002,S35
F343,C003,S35
F344,C004,S35
F345,C005,S35
F346,C006,S35
F347,C007,S35
F348,C008,S35
F349,C009,S35
F350,C010,S35
F351,C001,S36
F352,C002,S36
F353,C003,S36
F354,C004,S36
F355,C005,S36
F356,C006,S36
F357,C007,S36
F358,C008,S36
F359,C009,S36
F360,C010,S36
F361,C001,S37
F362,C002,S37
F363,C003,S37
F364,C004,S37
F365,C005,S37
F366,C006,S37
F367,C007,S37
F368,C008,S37
F369,C009,S37
F370,C010,S37
F371,C001,S38
F372,C002,S38
F373,C003,S38
F374,C004,S38
F375,C005,S38
F376,C006,S38
F377,C007,S38
F378,C008,S38
F379,C009,S38
F380,C010,S38
F381,C001,S39
F382,C002,S39
F383,C003,S39
F384,C004,S39
F385,C005,S39
F386,C006,S39
F387,C007,S39
F388,C008,S39
F389,C009,S39
F390,C010,S39
F391,C001,S40
F392,C002,S40
F393,C003,S40
F394,C004,S40
F395,C005,S40
F396,C006,S40
F397,C007,S40
F398,C008,S40
F399,C009,S40
F400,C010,S40
F1,C001,S41
F2,C002,S41
F3,C003,S41
F4,C004,S41
F5,C005,S41
F6,C006,S41
F7,C007,S41
F8,C008,S41
F9,C009,S41
F10,C010,S41
F11,C001,S42
F12,C002,S42
F13,C003,S42
F14,C004,S42
F15,C005,S42
F16,C006,S42
F17,C007,S42
F18,C008,S42
F19,C009,S42
F20,C010,S42
F21,C001,S43
F22,C002,S43
F23,C003,S43
F24,C004,S43
F25,C005,S43
F26,C006,S43
F27,C007,S43
F28,C008,S43
F29,C009,S43
F30,C010,S43
F31,C001,S44
F32,C002,S44
F33,C003,S44
F34,C004,S44
F35,C005,S44
F36,C006,S44
F37,C007,S44
F38,C008,S44
F39,C009,S44
F40,C010,S44
F41,C001,S45
F42,C002,S45
F43,C003,S45
F44,C004,S45
F45,C005,S45
F46,C006,S45
F47,C007,S45
F48,C008,S45
F49,C009,S45
F50,C010,S45
F51,C001,S46
F52,C002,S46
F53,C003,S46
F54,C004,S46
F55,C005,S46
F56,C006,S46
F57,C007,S46
F58,C008,S46
F59,C009,S46
F60,C010,S46
F61,C001,S47
F62,C002,S47
F63,C003,S47
F64,C004,S47
F65,C005,S47
F66,C006,S47
F67,C007,S47
F68,C008,S47
F69,C009,S47
F70,C010,S47
F71,C001,S48
F72,C002,S48
F73,C003,S48
F74,C004,S48
F75,C005,S48
F76,C006,S48
F77,C007,S48
F78,C008,S48
F79,C009,S48
F80,C010,S48
F81,C001,S49
F82,C002,S49
F83,C003,S49
F84,C004,S49
F85,C005,S49
F86,C006,S49
F87,C007,S49
F88,C008,S49
F89,C009,S49
F90,C010,S49
F91,C001,S50
F92,C002,S50
F93,C003,S50
F94,C004,S50
F95,C005,S50
F96,C006,S50
F97,C007,S50
F98,C008,S50
F99,C009,S50
F100,C010,S50
F101,C001,S51
F102,C002,S51
F103,C003,S51
F104,C004,S51
F105,C005,S51
F106,C006,S51
F107,C007,S51
F108,C008,S51
F109,C009,S51
F110,C010,S51
F111,C001,S52
F112,C002,S52
F113,C003,S52
F114,C004,S52
F115,C005,S52
F116,C006,S52
F117,C007,S52
F118,C008,S52
F119,C009,S52
F120,C010,S52
F121,C001,S53
F122,C002,S53
F123,C003,S53
F124,C004,S53
F125,C005,S53
F126,C006,S53
F127,C007,S53
F128,C008,S53
F129,C009,S53
F130,C010,S53
F131,C001,S54
F132,C002,S54
F133,C003,S54
F134,C004,S54
F135,C005,S54
F136,C006,S54
F137,C007,S54
F138,C008,S54
F139,C009,S54
F140,C010,S54
F141,C001,S55
F142,C002,S55
F143,C003,S55
F144,C004,S55
F145,C005,S55
F146,C006,S55
F147,C007,S55
F148,C008,S55
F149,C009,S55
F150,C010,S55
F151,C001,S56
F152,C002,S56
F153,C003,S56
F154,C004,S56
F155,C005,S56
F156,C006,S56
F157,C007,S56
F158,C008,S56
F159,C009,S56
F160,C010,S56
F161,C001,S57
F162,C002,S57
F163,C003,S57
F164,C004,S57
F165,C005,S57
F166,C006,S57
F167,C007,S57
F168,C008,S57
F169,C009,S57
F170,C010,S57
F171,C001,S58
F172,C002,S58
F173,C003,S58
F174,C004,S58
F175,C005,S58
F176,C006,S58
F177,C007,S58
F178,C008,S58
F179,C009,S58
F180,C010,S58
F181,C001,S59
F182,C002,S59
F183,C003,S59
F184,C004,S59
F185,C005,S59
F186,C006,S59
F187,C007,S59
F188,C008,S59
F189,C009,S59
F190,C010,S59
F191,C001,S60
F192,C002,S60
F193,C003,S60
F194,C004,S60
F195,C005,S60
F196,C006,S60
F197,C007,S60
F198,C008,S60
F199,C009,S60
F200,C010,S60
F201,C001,S61
F202,C002,S61
F203,C003,S61
F204,C004,S61
F205,C005,S61
F206,C006,S61
F207,C007,S61
F208,C008,S61
F209,C009,S61
F210,C010,S61
F211,C001,S62
F212,C002,S62
F213,C003,S62
F214,C004,S62
F215,C005,S62
F216,C006,S62
F217,C007,S62
F218,C008,S62
F219,C009,S62
F220,C010,S62
F221,C001,S63
F222,C002,S63
F223,C003,S63
F224,C004,S63
F225,C005,S63
F226,C006,S63
F227,C007,S63
F228,C008,S63
F229,C009,S63
F230,C010,S63
F231,C001,S64
F232,C002,S64
F233,C003,S64
F234,C004,S64
F235,C005,S64
F236,C006,S64
F237,C007,S64
F238,C008,S64
F239,C009,S64
F240,C010,S64
F241,C001,S65
F242,C002,S65
F243,C003,S65
F244,C004,S65
F245,C005,S65
F246,C006,S65
F247,C007,S65
F248,C008,S65
F249,C009,S65
F250,C010,S65
F251,C001,S66
F252,C002,S66
F253,C003,S66
F254,C004,S66
F255,C005,S66
F256,C006,S66
F257,C007,S66
F258,C008,S66
F259,C009,S66
F260,C010,S66
F261,C001,S67
F262,C002,S67
F263,C003,S67
F264,C004,S67
F265,C005,S67
F266,C006,S67
F267,C007,S67
F268,C008,S67
F269,C009,S67
F270,C010,S67
F271,C001,S68
F272,C002,S68
F273,C003,S68
F274,C004,S68
F275,C005,S68
F276,C006,S68
F277,C007,S68
F278,C008,S68
F279,C009,S68
F280,C010,S68
F281,C001,S69
F282,C002,S69
F283,C003,S69
F284,C004,S69
F285,C005,S69
F286,C006,S69
F287,C007,S69
F288,C008,S69
F289,C009,S69
F290,C010,S69
F291,C001,S70
F292,C002,S70
F293,C003,S70
