section_id,course_id,weekly_lectures,weekly_lab_sessions,lab_block_size
S1,C001,3,0,
S1,C002,2,0,
S1,C003,4,0,
S1,C004,3,0,
S1,C005,2,0,
S1,C006,4,0,
S1,C007,3,0,
S1,C008,0,1,2
S1,C009,0,1,3
S1,C010,0,1,2
S2,C001,3,0,
S2,C002,2,0,
S2,C003,4,0,
S2,C004,3,0,
S2,C005,2,0,
S2,C006,4,0,
S2,C007,3,0,
S2,C008,0,1,2
S2,C009,0,1,3
S2,C010,0,1,2
S3,C001,3,0,
S3,C002,2,0,
S3,C003,4,0,
S3,C004,3,0,
S3,C005,2,0,
S3,C006,4,0,
S3,C007,3,0,
S3,C008,0,1,2
S3,C009,0,1,3
S3,C010,0,1,2
S4,C001,3,0,
S4,C002,2,0,
S4,C003,4,0,
S4,C004,3,0,
S4,C005,2,0,
S4,C006,4,0,
S4,C007,3,0,
S4,C008,0,1,2
S4,C009,0,1,3
S4,C010,0,1,2
S5,C001,3,0,
S5,C002,2,0,
S5,C003,4,0,
S5,C004,3,0,
S5,C005,2,0,
S5,C006,4,0,
S5,C007,3,0,
S5,C008,0,1,2
S5,C009,0,1,3
S5,C010,0,1,2
S6,C001,3,0,
S6,C002,2,0,
S6,C003,4,0,
S6,C004,3,0,
S6,C005,2,0,
S6,C006,4,0,
S6,C007,3,0,
S6,C008,0,1,2
S6,C009,0,1,3
S6,C010,0,1,2
S7,C001,3,0,
S7,C002,2,0,
S7,C003,4,0,
S7,C004,3,0,
S7,C005,2,0,
S7,C006,4,0,
S7,C007,3,0,
S7,C008,0,1,2
S7,C009,0,1,3
S7,C010,0,1,2
S8,C001,3,0,
S8,C002,2,0,
S8,C003,4,0,
S8,C004,3,0,
S8,C005,2,0,
S8,C006,4,0,
S8,C007,3,0,
S8,C008,0,1,2
S8,C009,0,1,3
S8,C010,0,1,2
S9,C001,3,0,
S9,C002,2,0,
S9,C003,4,0,
S9,C004,3,0,
S9,C005,2,0,
S9,C006,4,0,
S9,C007,3,0,
S9,C008,0,1,2
S9,C009,0,1,3
S9,C010,0,1,2
S10,C001,3,0,
S10,C002,2,0,
S10,C003,4,0,
S10,C004,3,0,
S10,C005,2,0,
S10,C006,4,0,
S10,C007,3,0,
S10,C008,0,1,2
S10,C009,0,1,3
S10,C010,0,1,2
S11,C001,3,0,
S11,C002,2,0,
S11,C003,4,0,
S11,C004,3,0,
S11,C005,2,0,
S11,C006,4,0,
S11,C007,3,0,
S11,C008,0,1,2
S11,C009,0,1,3
S11,C010,0,1,2
S12,C001,3,0,
S12,C002,2,0,
S12,C003,4,0,
S12,C004,3,0,
S12,C005,2,0,
S12,C006,4,0,
S12,C007,3,0,
S12,C008,0,1,2
S12,C009,0,1,3
S12,C010,0,1,2
S13,C001,3,0,
S13,C002,2,0,
S13,C003,4,0,
S13,C004,3,0,
S13,C005,2,0,
S13,C006,4,0,
S13,C007,3,0,
S13,C008,0,1,2
S13,C009,0,1,3
S13,C010,0,1,2
S14,C001,3,0,
S14,C002,2,0,
S14,C003,4,0,
S14,C004,3,0,
S14,C005,2,0,
S14,C006,4,0,
S14,C007,3,0,
S14,C008,0,1,2
S14,C009,0,1,3
S14,C010,0,1,2
S15,C001,3,0,
S15,C002,2,0,
S15,C003,4,0,
S15,C004,3,0,
S15,C005,2,0,
S15,C006,4,0,
S15,C007,3,0,
S15,C008,0,1,2
S15,C009,0,1,3
S15,C010,0,1,2
S16,C001,3,0,
S16,C002,2,0,
S16,C003,4,0,
S16,C004,3,0,
S16,C005,2,0,
S16,C006,4,0,
S16,C007,3,0,
S16,C008,0,1,2
S16,C009,0,1,3
S16,C010,0,1,2
S17,C001,3,0,
S17,C002,2,0,
S17,C003,4,0,
S17,C004,3,0,
S17,C005,2,0,
S17,C006,4,0,
S17,C007,3,0,
S17,C008,0,1,2
S17,C009,0,1,3
S17,C010,0,1,2
S18,C001,3,0,
S18,C002,2,0,
S18,C003,4,0,
S18,C004,3,0,
S18,C005,2,0,
S18,C006,4,0,
S18,C007,3,0,
S18,C008,0,1,2
S18,C009,0,1,3
S18,C010,0,1,2
S19,C001,3,0,
S19,C002,2,0,
S19,C003,4,0,
S19,C004,3,0,
S19,C005,2,0,
S19,C006,4,0,
S19,C007,3,0,
S19,C008,0,1,2
S19,C009,0,1,3
S19,C010,0,1,2
S20,C001,3,0,
S20,C002,2,0,
S20,C003,4,0,
S20,C004,3,0,
S20,C005,2,0,
S20,C006,4,0,
S20,C007,3,0,
S20,C008,0,1,2
S20,C009,0,1,3
S20,C010,0,1,2
S21,C001,3,0,
S21,C002,2,0,
S21,C003,4,0,
S21,C004,3,0,
S21,C005,2,0,
S21,C006,4,0,
S21,C007,3,0,
S21,C008,0,1,2
S21,C009,0,1,3
S21,C010,0,1,2
S22,C001,3,0,
S22,C002,2,0,
S22,C003,4,0,
S22,C004,3,0,
S22,C005,2,0,
S22,C006,4,0,
S22,C007,3,0,
S22,C008,0,1,2
S22,C009,0,1,3
S22,C010,0,1,2
S23,C001,3,0,
S23,C002,2,0,
S23,C003,4,0,
S23,C004,3,0,
S23,C005,2,0,
S23,C006,4,0,
S23,C007,3,0,
S23,C008,0,1,2
S23,C009,0,1,3
S23,C010,0,1,2
S24,C001,3,0,
S24,C002,2,0,
S24,C003,4,0,
S24,C004,3,0,
S24,C005,2,0,
S24,C006,4,0,
S24,C007,3,0,
S24,C008,0,1,2
S24,C009,0,1,3
S24,C010,0,1,2
S25,C001,3,0,
S25,C002,2,0,
S25,C003,4,0,
S25,C004,3,0,
S25,C005,2,0,
S25,C006,4,0,
S25,C007,3,0,
S25,C008,0,1,2
S25,C009,0,1,3
S25,C010,0,1,2
S26,C001,3,0,
S26,C002,2,0,
S26,C003,4,0,
S26,C004,3,0,
S26,C005,2,0,
S26,C006,4,0,
S26,C007,3,0,
S26,C008,0,1,2
S26,C009,0,1,3
S26,C010,0,1,2
S27,C001,3,0,
S27,C002,2,0,
S27,C003,4,0,
S27,C004,3,0,
S27,C005,2,0,
S27,C006,4,0,
S27,C007,3,0,
S27,C008,0,1,2
S27,C009,0,1,3
S27,C010,0,1,2
S28,C001,3,0,
S28,C002,2,0,
S28,C003,4,0,
S28,C004,3,0,
S28,C005,2,0,
S28,C006,4,0,
S28,C007,3,0,
S28,C008,0,1,2
S28,C009,0,1,3
S28,C010,0,1,2
S29,C001,3,0,
S29,C002,2,0,
S29,C003,4,0,
S29,C004,3,0,
S29,C005,2,0,
S29,C006,4,0,
S29,C007,3,0,
S29,C008,0,1,2
S29,C009,0,1,3
S29,C010,0,1,2
S30,C001,3,0,
S30,C002,2,0,
S30,C003,4,0,
S30,C004,3,0,
S30,C005,2,0,
S30,C006,4,0,
S30,C007,3,0,
S30,C008,0,1,2
S30,C009,0,1,3
S30,C010,0,1,2
S31,C001,3,0,
S31,C002,2,0,
S31,C003,4,0,
S31,C004,3,0,
S31,C005,2,0,
S31,C006,4,0,
S31,C007,3,0,
S31,C008,0,1,2
S31,C009,0,1,3
S31,C010,0,1,2
S32,C001,3,0,
S32,C002,2,0,
S32,C003,4,0,
S32,C004,3,0,
S32,C005,2,0,
S32,C006,4,0,
S32,C007,3,0,
S32,C008,0,1,2
S32,C009,0,1,3
S32,C010,0,1,2
S33,C001,3,0,
S33,C002,2,0,
S33,C003,4,0,
S33,C004,3,0,
S33,C005,2,0,
S33,C006,4,0,
S33,C007,3,0,
S33,C008,0,1,2
S33,C009,0,1,3
S33,C010,0,1,2
S34,C001,3,0,
S34,C002,2,0,
S34,C003,4,0,
S34,C004,3,0,
S34,C005,2,0,
S34,C006,4,0,
S34,C007,3,0,
S34,C008,0,1,2
S34,C009,0,1,3
S34,C010,0,1,2
S35,C001,3,0,
S35,C002,2,0,
S35,C003,4,0,
S35,C004,3,0,
S35,C005,2,0,
S35,C006,4,0,
S35,C007,3,0,
S35,C008,0,1,2
S35,C009,0,1,3
S35,C010,0,1,2
S36,C001,3,0,
S36,C002,2,0,
S36,C003,4,0,
S36,C004,3,0,
S36,C005,2,0,
S36,C006,4,0,
S36,C007,3,0,
S36,C008,0,1,2
S36,C009,0,1,3
S36,C010,0,1,2
S37,C001,3,0,
S37,C002,2,0,
S37,C003,4,0,
S37,C004,3,0,
S37,C005,2,0,
S37,C006,4,0,
S37,C007,3,0,
S37,C008,0,1,2
S37,C009,0,1,3
S37,C010,0,1,2
S38,C001,3,0,
S38,C002,2,0,
S38,C003,4,0,
S38,C004,3,0,
S38,C005,2,0,
S38,C006,4,0,
S38,C007,3,0,
S38,C008,0,1,2
S38,C009,0,1,3
S38,C010,0,1,2
S39,C001,3,0,
S39,C002,2,0,
S39,C003,4,0,
S39,C004,3,0,
S39,C005,2,0,
S39,C006,4,0,
S39,C007,3,0,
S39,C008,0,1,2
S39,C009,0,1,3
S39,C010,0,1,2
S40,C001,3,0,
S40,C002,2,0,
S40,C003,4,0,
S40,C004,3,0,
S40,C005,2,0,
S40,C006,4,0,
S40,C007,3,0,
S40,C008,0,1,2
S40,C009,0,1,3
S40,C010,0,1,2
S41,C001,3,0,
S41,C002,2,0,
S41,C003,4,0,
S41,C004,3,0,
S41,C005,2,0,
S41,C006,4,0,
S41,C007,3,0,
S41,C008,0,1,2
S41,C009,0,1,3
S41,C010,0,1,2
S42,C001,3,0,
S42,C002,2,0,
S42,C003,4,0,
S42,C004,3,0,
S42,C005,2,0,
S42,C006,4,0,
S42,C007,3,0,
S42,C008,0,1,2
S42,C009,0,1,3
S42,C010,0,1,2
S43,C001,3,0,
S43,C002,2,0,
S43,C003,4,0,
S43,C004,3,0,
S43,C005,2,0,
S43,C006,4,0,
S43,C007,3,0,
S43,C008,0,1,2
S43,C009,0,1,3
S43,C010,0,1,2
S44,C001,3,0,
S44,C002,2,0,
S44,C003,4,0,
S44,C004,3,0,
S44,C005,2,0,
S44,C006,4,0,
S44,C007,3,0,
S44,C008,0,1,2
S44,C009,0,1,3
S44,C010,0,1,2
S45,C001,3,0,
S45,C002,2,0,
S45,C003,4,0,
S45,C004,3,0,
S45,C005,2,0,
S45,C006,4,0,
S45,C007,3,0,
S45,C008,0,1,2
S45,C009,0,1,3
S45,C010,0,1,2
S46,C001,3,0,
S46,C002,2,0,
S46,C003,4,0,
S46,C004,3,0,
S46,C005,2,0,
S46,C006,4,0,
S46,C007,3,0,
S46,C008,0,1,2
S46,C009,0,1,3
S46,C010,0,1,2
S47,C001,3,0,
S47,C002,2,0,
S47,C003,4,0,
S47,C004,3,0,
S47,C005,2,0,
S47,C006,4,0,
S47,C007,3,0,
S47,C008,0,1,2
S47,C009,0,1,3
S47,C010,0,1,2
S48,C001,3,0,
S48,C002,2,0,
S48,C003,4,0,
S48,C004,3,0,
S48,C005,2,0,
S48,C006,4,0,
S48,C007,3,0,
S48,C008,0,1,2
S48,C009,0,1,3
S48,C010,0,1,2
S49,C001,3,0,
S49,C002,2,0,
S49,C003,4,0,
S49,C004,3,0,
S49,C005,2,0,
S49,C006,4,0,
S49,C007,3,0,
S49,C008,0,1,2
S49,C009,0,1,3
S49,C010,0,1,2
S50,C001,3,0,
S50,C002,2,0,
S50,C003,4,0,
S50,C004,3,0,
S50,C005,2,0,
S50,C006,4,0,
S50,C007,3,0,
S50,C008,0,1,2
