section_id,section_name,num_students
S1,Section 1,60
S2,Section 2,60
S3,Section 3,60
S4,Section 4,60
S5,Section 5,60
S6,Section 6,60
S7,Section 7,60
S8,Section 8,60
S9,Section 9,60
S10,Section 10,60
S11,Section 11,60
S12,Section 12,60
S13,Section 13,60
S14,Section 14,60
S15,Section 15,60
S16,Section 16,60
S17,Section 17,60
S18,Section 18,60
S19,Section 19,60
S20,Section 20,60
S21,Section 21,60
S22,Section 22,60
S23,Section 23,60
S24,Section 24,60
S25,Section 25,60
S26,Section 26,60
S27,Section 27,60
S28,Section 28,60
S29,Section 29,60
S30,Section 30,60
S31,Section 31,60
S32,Section 32,60
S33,Section 33,60
S34,Section 34,60
S35,Section 35,60
S36,Section 36,60
S37,Section 37,60
S38,Section 38,60
S39,Section 39,60
S40,Section 40,60
S41,Section 41,60
S42,Section 42,60
S43,Section 43,60
S44,Section 44,60
S45,Section 45,60
S46,Section 46,60
S47,Section 47,60
S48,Section 48,60
S49,Section 49,60
S50,Section 50,60
S51,Section 51,60
S52,Section 52,60
S53,Section 53,60
S54,Section 54,60
S55,Section 55,60
S56,Section 56,60
S57,Section 57,60
S58,Section 58,60
S59,Section 59,60
S60,Section 60,60
S61,Section 61,60
S62,Section 62,60
S63,Section 63,60
S64,Section 64,60
S65,Section 65,60
S66,Section 66,60
S67,Section 67,60
S68,Section 68,60
S69,Section 69,60
S70,Section 70,60
S71,Section 71,60
S72,Section 72,60
S73,Section 73,60
S74,Section 74,60
S75,Section 75,60
S76,Section 76,60
S77,Section 77,60
S78,Section 78,60
S79,Section 79,60
S80,Section 80,60
S81,Section 81,60
S82,Section 82,60
S83,Section 83,60
S84,Section 84,60
