day_name,period_index,is_break
Monday,1,0
Monday,2,0
Monday,3,1
Monday,4,0
Monday,5,0
Monday,6,0
Monday,7,1
Monday,8,0
Monday,9,0
Tuesday,1,0
Tuesday,2,0
Tuesday,3,1
Tuesday,4,0
Tuesday,5,0
Tuesday,6,0
Tuesday,7,1
Tuesday,8,0
Tuesday,9,0
Wednesday,1,0
Wednesday,2,0
Wednesday,3,1
Wednesday,4,0
Wednesday,5,0
Wednesday,6,0
Wednesday,7,1
Wednesday,8,0
Wednesday,9,0
Thursday,1,0
Thursday,2,0
Thursday,3,1
Thursday,4,0
Thursday,5,0
Thursday,6,0
Thursday,7,1
Thursday,8,0
Thursday,9,0
Friday,1,0
Friday,2,0
Friday,3,1
Friday,4,0
Friday,5,0
Friday,6,0
Friday,7,1
Friday,8,0
Friday,9,0
Saturday,1,0
Saturday,2,0
Saturday,3,1
Saturday,4,0
Saturday,5,0
Saturday,6,0
Saturday,7,1
Saturday,8,0
Saturday,9,0
