faculty_id,course_id,section_id
VU001,CD,3A1
VU002,DMT,3A1
VU002,DMT-LAB,3A1
VU012,CN,3A1
VU012,CN-LAB,3A1
VU004,ML,3A1
VU004,ML-L,3A1
VU005,MSD,3A1
VU006,SS-LAB,3A1
VU007,IA1,3A1
VU008,IDP,3A1
VU009,WT-L,3A1
VU001,CD,3A2
VU002,DMT,3A2
VU002,DMT-LAB,3A2
VU003,CN,3A2
VU003,CN-LAB,3A2
VU004,ML,3A2
VU004,ML-L,3A2
VU005,MSD,3A2
VU006,SS-LAB,3A2
VU007,IA1,3A2
VU008,IDP,3A2
VU009,WT-L,3A2
VU001,CD,3A3
VU002,DMT,3A3
VU002,DMT-LAB,3A3
VU003,CN,3A3
VU003,CN-LAB,3A3
VU004,ML,3A3
VU004,ML-L,3A3
VU005,MSD,3A3
VU006,SS-LAB,3A3
VU007,IA1,3A3
VU008,IDP,3A3
VU009,WT-L,3A3
VU010,CD,3A4
VU011,DMT,3A4
VU011,DMT-LAB,3A4
VU003,CN,3A4
VU003,CN-LAB,3A4
VU013,ML,3A4
VU013,ML-L,3A4
VU014,MSD,3A4
VU015,SS-LAB,3A4
VU016,IA1,3A4
VU017,IDP,3A4
VU018,WT-L,3A4
VU010,CD,3A5
VU011,DMT,3A5
VU011,DMT-LAB,3A5
VU012,CN,3A5
VU012,CN-LAB,3A5
VU013,ML,3A5
VU013,ML-L,3A5
VU014,MSD,3A5
VU015,SS-LAB,3A5
VU016,IA1,3A5
VU017,IDP,3A5
VU018,WT-L,3A5
VU010,CD,3A6
VU011,DMT,3A6
VU011,DMT-LAB,3A6
VU012,CN,3A6
VU012,CN-LAB,3A6
VU013,ML,3A6
VU013,ML-L,3A6
VU014,MSD,3A6
VU015,SS-LAB,3A6
VU016,IA1,3A6
VU017,IDP,3A6
VU018,WT-L,3A6
VU019,CD,3A7
VU020,DMT,3A7
VU020,DMT-LAB,3A7
VU021,CN,3A7
VU021,CN-LAB,3A7
VU022,ML,3A7
VU022,ML-L,3A7
VU023,MSD,3A7
VU024,SS-LAB,3A7
VU025,IA1,3A7
VU026,IDP,3A7
VU027,WT-L,3A7
VU019,CD,3A8
VU020,DMT,3A8
VU020,DMT-LAB,3A8
VU021,CN,3A8
VU021,CN-LAB,3A8
VU022,ML,3A8
VU022,ML-L,3A8
VU023,MSD,3A8
VU024,SS-LAB,3A8
VU025,IA1,3A8
VU026,IDP,3A8
VU027,WT-L,3A8
VU019,CD,3A9
VU020,DMT,3A9
VU020,DMT-LAB,3A9
VU021,CN,3A9
VU021,CN-LAB,3A9
VU022,ML,3A9
VU022,ML-L,3A9
VU023,MSD,3A9
VU024,SS-LAB,3A9
VU025,IA1,3A9
VU026,IDP,3A9
VU027,WT-L,3A9
